Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,screening_form,,text,Record ID,,,,,,,,,,,,,
a_men_optimistic,adult_baseline_survey,"<div class=""rich-text-field-label""><h5><span style=""text-decoration: underline;"">G. Mental Wellbeing</span></h5></div>
<hr></hr>
Below are some statements about feelings and thoughts. Please check the box that best describes your experience of each over the last 14 days.",radio,46. I've been feeling optimistic about the future,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_useful,adult_baseline_survey,,radio,47. I've been feeling useful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_relaxed,adult_baseline_survey,,radio,48. I've been feeling relaxed,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_people,adult_baseline_survey,,radio,49. I've been feeling interested in other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_energy,adult_baseline_survey,,radio,50. I've had energy to spare,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_problems,adult_baseline_survey,,radio,51. I've been dealing with problems well,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_clear,adult_baseline_survey,,radio,52. I've been thinking clearly,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_feelgood,adult_baseline_survey,,radio,53. I've been feeling good about myself,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_close,adult_baseline_survey,,radio,54. I've been feeling close to other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_confident,adult_baseline_survey,,radio,55. I've been feeling confident,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_mind,adult_baseline_survey,,radio,56. I've been able to make up my own mind about things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_loved,adult_baseline_survey,,radio,57. I've been feeling loved,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_interested,adult_baseline_survey,,radio,58. I've been interested in new things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_cheerful,adult_baseline_survey,,radio,59. I've been feeling cheerful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
af_men_optimistic,adult_6month_followup_survey,"<h5><span style=""text-decoration: underline;"">F. Mental Wellbeing</span></h5>
<hr></hr>
Below are some statements about feelings and thoughts. Please check the box that best describes your experience of each over the last 14 days.",radio,37. I've been feeling optimistic about the future,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_useful,adult_6month_followup_survey,,radio,38. I've been feeling useful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_relaxed,adult_6month_followup_survey,,radio,39. I've been feeling relaxed,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_people,adult_6month_followup_survey,,radio,40. I've been feeling interested in other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_energy,adult_6month_followup_survey,,radio,41. I've had energy to spare,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_problems,adult_6month_followup_survey,,radio,42. I've been dealing with problems well,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_clear,adult_6month_followup_survey,,radio,43. I've been thinking clearly,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_feelgood,adult_6month_followup_survey,,radio,44. I've been feeling good about myself,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_close,adult_6month_followup_survey,,radio,45. I've been feeling close to other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_confident,adult_6month_followup_survey,,radio,46. I've been feeling confident,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_mind,adult_6month_followup_survey,,radio,47. I've been able to make up my own mind about things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_loved,adult_6month_followup_survey,,radio,48. I've been feeling loved,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_interested,adult_6month_followup_survey,,radio,49. I've been interested in new things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af_men_cheerful,adult_6month_followup_survey,,radio,50. I've been feeling cheerful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af_mentalwell,,
af12_men_optimistic,adult_12_month_followup_survey,"<h5><span style=""text-decoration: underline;"">G. Mental Wellbeing</span></h5>
<hr></hr>
Below are some statements about feelings and thoughts. Please check the box that best describes your experience of each over the last 14 days.",radio,40. I've been feeling optimistic about the future,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_useful,adult_12_month_followup_survey,,radio,41. I've been feeling useful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_relaxed,adult_12_month_followup_survey,,radio,42. I've been feeling relaxed,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_people,adult_12_month_followup_survey,,radio,43. I've been feeling interested in other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_energy,adult_12_month_followup_survey,,radio,44. I've had energy to spare,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_problems,adult_12_month_followup_survey,,radio,45. I've been dealing with problems well,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_clear,adult_12_month_followup_survey,,radio,46. I've been thinking clearly,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_feelgood,adult_12_month_followup_survey,,radio,47. I've been feeling good about myself,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_close,adult_12_month_followup_survey,,radio,48. I've been feeling close to other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_confident,adult_12_month_followup_survey,,radio,49. I've been feeling confident,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_mind,adult_12_month_followup_survey,,radio,50. I've been able to make up my own mind about things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_loved,adult_12_month_followup_survey,,radio,51. I've been feeling loved,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_interested,adult_12_month_followup_survey,,radio,52. I've been interested in new things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af12_men_cheerful,adult_12_month_followup_survey,,radio,53. I've been feeling cheerful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af12_mentalwell,,
af18_men_optimistic,adult_18_month_followup_survey,"<h5><span style=""text-decoration: underline;"">G. Mental Wellbeing</span></h5>
<hr></hr>
Below are some statements about feelings and thoughts. Please check the box that best describes your experience of each over the last 14 days.",radio,40. I've been feeling optimistic about the future,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_useful,adult_18_month_followup_survey,,radio,41. I've been feeling useful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_relaxed,adult_18_month_followup_survey,,radio,42. I've been feeling relaxed,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_people,adult_18_month_followup_survey,,radio,43. I've been feeling interested in other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_energy,adult_18_month_followup_survey,,radio,44. I've had energy to spare,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_problems,adult_18_month_followup_survey,,radio,45. I've been dealing with problems well,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_clear,adult_18_month_followup_survey,,radio,46. I've been thinking clearly,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_feelgood,adult_18_month_followup_survey,,radio,47. I've been feeling good about myself,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_close,adult_18_month_followup_survey,,radio,48. I've been feeling close to other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_confident,adult_18_month_followup_survey,,radio,49. I've been feeling confident,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_mind,adult_18_month_followup_survey,,radio,50. I've been able to make up my own mind about things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_loved,adult_18_month_followup_survey,,radio,51. I've been feeling loved,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_interested,adult_18_month_followup_survey,,radio,52. I've been interested in new things,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
af18_men_cheerful,adult_18_month_followup_survey,,radio,53. I've been feeling cheerful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,af18_mentalwell,,
pasc90_180_status_participant,NA,Derived Value,NA,Indicates if participant reported symptoms on a 90–180 day follow-up survey.,1 = PASC+: Indicated symptoms on a followup survey between 90 and 180 days post-infection. 0 = PASC-: NO symptoms on a followup survey in that period. 99 = PASCUnk: No followup survey in time frame.,,,,,,,,,,,,
pasc181_365_status_participant,NA,Derived Value,NA,Indicates if participant reported symptoms on a 181–365 day follow-up survey.,"1 = PASC+: Symptoms at 181–365 days AND at 90–180 days. 0 = PASC-: NO symptoms at 181–365 days. 99 = PASCUnk: No followup survey in time frame. 3 = PASCResurge: Symptoms at 181–365 days, not at 90–180. 2 = PASC+QC: Symptoms at 181–365 days, missing 90–180 day survey.",,,,,,,,,,,,
pasc366_548_status_participant,NA,Derived Value,NA,Indicates if the participant indicated symptoms on an eligible (between 366 and 548 day) followup survey,"1 = PASC+: Indicated symptoms on a followup survey between 366 and 548 days post- infection AND on a followup survey between 90-180 daysAND on a followup between 181 and 365 days., 0 = PASC-:Indicated NO symptoms on a followup survey between 366 and 548 days post- infection. Regardless or prior infection status, 99 = PASCUnk: Not applicable (participant did not complete a followup survey in the time frame OR Indicated symptoms on a followup survey between 366 and 548 days post-infection but did not have enough prior record to determine status)., 2 = PASC+QC :Indicated symptoms on a followup survey between 366 and 548 days post- infection AND was considered Resurge, PosQC or Unknown followup between 181 and 365 days.",,,,,,,,,,,,
age_bracket,NA,Derived Value,NA,,"1, 0-17|2, 18-24|3, 25-34|4, 35-44|5, 45-54|6, 55-64|7, 65-74|8, 75-84| 9, 85 +",,,,,,,,,,,,
a_sex,adult_baseline_survey,"<div class=""rich-text-field-label""><h5><span style=""text-decoration: underline;"">M. Demographics</span></h5></div>",radio,"<div class=""rich-text-field-label""><p>93. What sex were you assigned at birth on your original birth certificate?</p> <p><span style=""color: #e03e2d;"">a_sex, retired as of REDCap Release 17</span></p></div>","1, Male | 2, Female | 99, Prefer not to answer",,,,,,,, @HIDDEN,,,,
a_ethnicity,adult_baseline_survey,radio,95. What is your ethnicity?,"1, Hispanic|2, Non-Hispanic|99, Prefer not to answer",,,,,,,,,,,,,
a_race,adult_baseline_survey,checkbox,96. What is your race?  Select all that apply.,"1, Asian or Asian American | 2, Black or African American | 3, Native Hawaiian or other Pacific Islander | 4, American Indian or Alaska Native | 5, White or Caucasian | 6, Other race, specify: {a_race_other} | 99, Prefer not to answer", @NONEOFTHEABOVE='99',,,,,,,,,,,,
a_income,adult_baseline_survey,radio,102. What is your annual household income from all sources?,"1, $0 to $24,999|2, $25,000 to $49,999|3, $50,000 to $74,999|4, $75,000 to $99,999|5, $100,000 to $149,999|6, $150,000 or more|88, Don't know/Not sure|99, Prefer not to answer",,,,,,,,,,,,,
a_education,adult_baseline_survey,radio,99. What is the highest degree or level of school that you have completed?,"0, Never attended school or only attended kindergarten | 1, Grades 1- 8 | 2, Grades 9-11 | 3, High school graduate or GED | 4, College, 1-3 years, or some college, associate's degree, or technical school | 5, College, 4 years or more, or college graduate | 6, Post-graduate education or professional degree (e.g., MA, PhD, MD, DDS) | 99, Prefer not to answer",,,,,,,,,,,,,